,index,name,date,price
426,11,浦东世纪花园(二期公寓),201710,96066
427,11,浦东世纪花园(二期公寓),201711,91705
428,11,浦东世纪花园(二期公寓),201712,88885
429,11,浦东世纪花园(二期公寓),201801,88677
430,11,浦东世纪花园(二期公寓),201802,88509
431,11,浦东世纪花园(二期公寓),201803,88377
432,12,万科金色雅筑,201504,41503
433,12,万科金色雅筑,201505,42229
434,12,万科金色雅筑,201506,42969
435,12,万科金色雅筑,201507,43949
436,12,万科金色雅筑,201508,44768
437,12,万科金色雅筑,201509,46091
438,12,万科金色雅筑,201510,47110
439,12,万科金色雅筑,201511,47914
440,12,万科金色雅筑,201512,49759
441,12,万科金色雅筑,201601,53125
442,12,万科金色雅筑,201602,57343
443,12,万科金色雅筑,201603,65498
444,12,万科金色雅筑,201604,67240
445,12,万科金色雅筑,201605,66524
446,12,万科金色雅筑,201606,65500
447,12,万科金色雅筑,201607,65892
448,12,万科金色雅筑,201608,66425
449,12,万科金色雅筑,201609,67556
450,12,万科金色雅筑,201610,68328
451,12,万科金色雅筑,201611,69944
452,12,万科金色雅筑,201612,70764
453,12,万科金色雅筑,201701,70021
454,12,万科金色雅筑,201702,70280
455,12,万科金色雅筑,201703,71656
456,12,万科金色雅筑,201704,72977
457,12,万科金色雅筑,201705,73413
458,12,万科金色雅筑,201706,73232
459,12,万科金色雅筑,201707,72632
460,12,万科金色雅筑,201708,71450
461,12,万科金色雅筑,201709,71951
462,12,万科金色雅筑,201710,73666
463,12,万科金色雅筑,201711,70640
464,12,万科金色雅筑,201712,69449
465,12,万科金色雅筑,201801,70659
466,12,万科金色雅筑,201802,69983
467,12,万科金色雅筑,201803,70786
468,13,世茂滨江花园(南区),201504,0
469,13,世茂滨江花园(南区),201505,0
470,13,世茂滨江花园(南区),201506,8125
471,13,世茂滨江花园(南区),201507,8125
472,13,世茂滨江花园(南区),201508,8125
473,13,世茂滨江花园(南区),201509,8125
474,13,世茂滨江花园(南区),201510,8125
475,13,世茂滨江花园(南区),201511,8125
476,13,世茂滨江花园(南区),201512,8125
477,13,世茂滨江花园(南区),201601,8125
478,13,世茂滨江花园(南区),201602,8125
479,13,世茂滨江花园(南区),201603,8125
480,13,世茂滨江花园(南区),201604,8451
481,13,世茂滨江花园(南区),201605,8408
482,13,世茂滨江花园(南区),201606,8361
483,13,世茂滨江花园(南区),201607,8361
484,13,世茂滨江花园(南区),201608,64000
485,13,世茂滨江花园(南区),201609,64000
486,13,世茂滨江花园(南区),201610,65582
487,13,世茂滨江花园(南区),201611,65582
488,13,世茂滨江花园(南区),201612,65582
489,13,世茂滨江花园(南区),201701,65582
490,13,世茂滨江花园(南区),201702,79458
491,13,世茂滨江花园(南区),201703,84309
492,13,世茂滨江花园(南区),201704,86831
493,13,世茂滨江花园(南区),201705,88532
494,13,世茂滨江花园(南区),201706,89646
495,13,世茂滨江花园(南区),201707,88506
496,13,世茂滨江花园(南区),201708,91589
497,13,世茂滨江花园(南区),201709,94651
498,13,世茂滨江花园(南区),201710,94669
499,13,世茂滨江花园(南区),201711,95124
500,13,世茂滨江花园(南区),201712,95882
501,13,世茂滨江花园(南区),201801,95300
502,13,世茂滨江花园(南区),201802,98003
503,13,世茂滨江花园(南区),201803,98340
504,14,昌里花园,201504,0
505,14,昌里花园,201505,0
506,14,昌里花园,201506,0
507,14,昌里花园,201507,0
508,14,昌里花园,201508,0
509,14,昌里花园,201509,0
510,14,昌里花园,201510,0
511,14,昌里花园,201511,0
512,14,昌里花园,201512,0
513,14,昌里花园,201601,0
514,14,昌里花园,201602,0
515,14,昌里花园,201603,0
516,14,昌里花园,201604,0
517,14,昌里花园,201605,0
518,14,昌里花园,201606,0
519,14,昌里花园,201607,0
520,14,昌里花园,201608,0
521,14,昌里花园,201609,0
522,14,昌里花园,201610,57223
523,14,昌里花园,201611,62529
524,14,昌里花园,201612,62192
525,14,昌里花园,201701,64477
526,14,昌里花园,201702,63777
527,14,昌里花园,201703,63369
528,14,昌里花园,201704,63020
529,14,昌里花园,201705,69126
530,14,昌里花园,201706,69934
531,14,昌里花园,201707,68887
