,address,link,long,lat,property_type,property_costs,total_area,number_of_units,year_built,parking_spots,volume_rate,green_rating,developer_company,property_management_company
5501,保利西岸,https://shanghai.anjuke.com/community/view/608142,31.186448,121.462416,公寓,7.00元/平米/月,150000m²,292户,2015年,725,2.5,42%(高),上海保利建熹房地产有限公司,上海保利物业管理
5502,漓江山水花园,https://shanghai.anjuke.com/community/view/2036,31.12252,121.452506,公寓,3.00元/平米/月,150000m²,412户,2005年,每户都有独立车库,0.36,50%(高),上海中房景阳房产有限公司,上海华悦物业管理有限公司
5503,田林十二村,https://shanghai.anjuke.com/community/view/10208,31.178234000000003,121.435125,公寓,1.30元/平米/月,100000m²,1920户,1987年,128,2,30%(一般),徐汇房地产经营开发有限公司,上海田林物业有限公司
5504,盛大花园,https://shanghai.anjuke.com/community/view/1808,31.184013,121.460881,公寓,1.70元/平米/月,350000m²,800户,2004年,118,1.7,48%(高),上海盛大房地产开发有限公司,上海琮元物业管理有限公司
5505,中信君廷名邸,https://shanghai.anjuke.com/community/view/595174,31.186731,121.460579,公寓,6.50元/平米/月,120653m²,431户,2015年,542,2.5,35%(一般),上海盛博房地产开发有限公司,上海高力国际物业服务有限公司
5506,虹桥大仕馆云峰苑,https://shanghai.anjuke.com/community/view/10495,31.196521,121.420718,公寓,1.50元/平米/月,40000m²,352户,2000年,180,2.2,50%(高),上海云峰集团荣峰房地产开发有限公司,怡高物业顾问
5507,吴中公寓,https://shanghai.anjuke.com/community/view/2378,31.194215000000003,121.427413,公寓,1.20元/平米/月,暂无数据,316户,1996年,55,暂无数据,25%(一般),暂无数据,上海吴安物业有限公司
5508,东方曼哈顿世纪豪庭,https://shanghai.anjuke.com/community/view/2145,31.197606,121.439723,公寓,3.35元/平米/月,200000m²,1750户,2001年,500,4,40%(高),上海东方海外徐家汇房地产有限公司,高力国际物业
5509,广厦公寓,https://shanghai.anjuke.com/community/view/2040,31.186359000000003,121.422528,公寓,0.80元/平米/月,1500m²,290户,2002年,25,暂无数据,30%(一般),暂无数据,上海爱仁物业有限公司
5510,东方康洛,https://shanghai.anjuke.com/community/view/2006,31.18361,121.418734,公寓,1.80元/平米/月,42000m²,582户,2004年,240,暂无数据,35%(一般),上海漕河泾开发区高科技园发展有限公司,上海漕河泾开发区高科技园发展有限公司
