,address,long,lat,property_type,property_cost(Rmb/m^2/month),total_area(m2),number_of_units,year_built,parking_spots,volume_rate,green_rating(%),ratio
4990,民主敦发小区,31.328371,121.45371200000001,0,0.95,45000,378,1997,60,23,40,-0.18692398038704275
4991,兴景佳苑,31.404721999999996,121.497557,0,1.5,64000,650,2004,168,2,48,-0.04462011397542032
4993,华鹏花苑,31.292043,121.418631,0,0.6,23435,7566,1997,80,135,23,-0.07111297142109341
4994,华能时代花园,31.396023,121.493771,0,0.8,51000,452,2002,203,158,40,-0.18535057400075608
4996,城投世纪名城,31.332896,121.46922099999999,0,0.8,100000,1344,2003,500,14,40,-0.15226510157639941
4997,吴淞新城(西区),31.377083000000002,121.503227,0,1.2,50000,865,2002,150,177,35,-0.1271495063964732
5000,思致公寓,31.385872999999997,121.50423799999999,0,1.2,13950,420,2003,320,25,30,-0.14818591098297648
5001,大唐花园,31.350031,121.407747,0,0.6,100000,500,1995,200,15,30,-0.38684565867914794
5006,水韵华庭(一期),31.274881,121.429147,0,0.5,75000,600,2003,200,22,38,0.029293074050013912
5007,大华公园世家康华苑(二期),31.28565,121.416175,0,1.2,54000,1080,2002,500,14,40,-0.0229668165544492
5009,学林苑,31.320044,121.391221,0,0.7,36000,813,2004,450,16,37,-0.11831234673108715
5010,新城尚景,31.348828,121.488147,0,1.35,80000,2000,2006,330,165,40,-0.09638318079648844
5011,柏丽华庭,31.375031,121.440221,0,2.1,84000,700,2007,600,18,50,-0.2889639260586278
5012,万临家园,31.347576,121.496779,0,1.05,70000,568,2006,230,14,43,-0.12410336437314314
5016,西朱新村,31.381311,121.49711699999999,0,0.8,37500,776,1992,135,2,39,-0.350217696391242
5019,上大阳光乾宁园,31.317090000000004,121.40935800000001,0,0.81,15000,622,2006,163,15,41,-0.19998657228851635
5020,祁连二村A街坊,31.323558000000002,121.385405,0,0.7,179765,650,1996,80,105,40,-0.2563344008307363
5023,新思致公寓,31.396224,121.496025,0,1.2,13950,120,2007,120,25,30,-0.15900478041083702
5024,成亿宝盛家苑(南区),31.361124,121.420699,0,1.2,30000,1016,2006,510,143,43,-0.3375675626667394
5025,住嘉新苑,31.340176,121.452603,0,1.39,21100,138,2005,58,23,36,-0.0963051165945469
5026,上大阳光乾清园,31.316368,121.416195,0,0.74,83000,1140,2003,130,13,30,-0.2270599033741124
5028,呼玛四村,31.350161,121.45168999999999,0,0.5,76000,670,1995,96,13,24,-0.25453837501391824
5029,怡华苑,31.278245000000002,121.425173,0,0.9,32000,730,1998,675,13,35,-0.055788678154788364
5071,巴黎时光,31.351825,121.498319,0,3.0,11815,169,2005,31,2,45,-0.7182072246206289
5072,中艺花园,31.404509,121.505772,0,1.0,53000,360,2003,185,167,35,-0.10152665972865894
5083,宝城三村,31.417765999999997,121.500892,0,0.8,43000,650,2003,350,15,35,-0.19035133050871433
5094,华浜二村,31.351965000000003,121.50551499999999,0,1.2,12000,658,1999,14,15,28,-0.266776511881535
5095,月浦九村,31.420794,121.42924199999999,0,0.5,209383,1566,1994,780,13,22,-0.41591563402471327
5096,宝通家园,31.494932000000002,121.33870800000001,0,1.2,450000,850,1998,560,17,25,-0.6202635387551811
5098,建宇公寓,31.403384999999997,121.490431,0,1.2,23000,450,2004,336,32,30,-0.25294197651387446
5099,宝山二村,31.400332000000002,121.506956,0,0.6,98000,890,1993,400,17,30,-0.2398172754747595
5100,汇秀公寓,31.337374,121.448986,0,0.6,12537,96,2003,96,34,38,-0.2042721974704483
5110,逸仙路1321弄3支弄小区,31.322283000000002,121.493995,0,0.5,1832,2480,1995,130,18,45,-0.14512254605412322
5111,海江公寓,31.402092,121.511277,0,1.3,52739,750,2002,450,17,40,-0.24730288534766734
5115,新叶公寓,31.397658000000003,121.512098,0,0.8,34500,720,2003,178,12,42,-0.33909648841515455
