,room,area,price,orient,level,dec,line,linedistance,district,school,time,elevator,unknown1,unknown2,unknown3,unknown4,web
61,"
2室1厅1卫        ",58平米,27586元/平米,暂无,中层,精装修,0,0,浦东,0,2009年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_317978740.htm
62,"
2室2厅1卫        ",91平米,49011元/平米,南北,中层,精装修,7,651,宝山,0,2001年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319594753.htm
63,"
2室1厅1卫        ",60.06平米,57443元/平米,南,高层,简装修,6,280,浦东,1,1995年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319737291.htm
64,"
2室2厅1卫        ",89.3平米,52632元/平米,南北,中层,精装修,9,1116,浦东,0,2001年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319933175.htm
65,"
3室2厅2卫        ",151平米,91391元/平米,南,低层,精装修,9,588,浦东,0,2009年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_318673689.htm
66,"
3室2厅2卫        ",141平米,61702元/平米,南北,中层,精装修,3,528,徐汇,1,2010年,无 ,个人产权,普通住宅,"
                                2018-03-17
                        ",71578元/平米,http://esf.sh.fang.com/chushou/3_318197070.htm
67,"
3室2厅1卫        ",121平米,95868元/平米,南北,中层,简装修,1,493,徐汇,0,2010年,无 ,个人产权,普通住宅,"
                                2018-03-19
                        ",80494元/平米,http://esf.sh.fang.com/chushou/3_318332576.htm
68,"
3室2厅2卫        ",177.6平米,64752元/平米,暂无,高层,豪华装修,10,235,杨浦,0,2012年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319956792.htm
69,"
5室3厅3卫        ",355平米,49296元/平米,南,低层,豪华装修,0,0,浦东,0,2009年,独栋,"
                                2018-04-10
                        ",54601元/平米,↑2.01%,↑2.1%,http://esf.sh.fang.com/chushou/10_319732041.htm
70,"
3室1厅1卫        ",73.69平米,44104元/平米,南,中层,精装修,0,0,宝山,0,1994年,无 ,商品房,"
                                2018-04-01
                        ",41548元/平米,↑6.53%,http://esf.sh.fang.com/chushou/3_319208954.htm
71,"
1室2厅1卫        ",56平米,36786元/平米,南,中层,精装修,0,0,闵行,0,2007年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319745099.htm
