,name,link,long,la,Property type,Property costs,Total area,Number of units,Year built,Parking spots,Volume rate,Green rating,Developer Company,Property management company,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803
83,花木苑,https://shanghai.anjuke.com/community/view/355,31.216289,121.54984,公寓,0,300000,1600,2001,400,1,40,上海鑫荣房地产综合开发有限公司,花木物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,九间堂别墅,https://shanghai.anjuke.com/community/view/92,31.228411,121.568836,别墅,6,24298,46,2007,50,0,60,上海证大三角洲置业有限公司,上海证大物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,阳光城愉景湾,https://shanghai.anjuke.com/community/view/630843,31.182825,121.709898,公寓,3,139613,1306,2016,981,2,35,上海迅腾博房地产开发有限公司,阳光城物业服务(福建)有限公司上海分公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,金桥和苑,https://shanghai.anjuke.com/community/view/407805,31.259493,121.599044,公寓,0,39840,368,2011,150,1,40,上海金桥（集团）有限公司,上海欣城物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,御沁园(东区公寓),https://shanghai.anjuke.com/community/view/397388,31.108071,121.581995,公寓,2,347942,175,2013,178,1,35,上海荣启置业有限公司,家利物业管理(上海)有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,锦绣华都,https://shanghai.anjuke.com/community/view/219208,31.161016,121.587832,公寓,1,199285,1578,2010,1014,1,50,上海越州置业有限公司,上海枫宇物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,天台别韵,https://shanghai.anjuke.com/community/view/209842,31.126784000000004,121.558564,公寓,1,55000,1300,2009,340,1,35,上海天台恒星房地产开发有限公司,上海天台物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,阳光城市家园,https://shanghai.anjuke.com/community/view/193920,31.277339,121.620338,公寓,0,4200,600,2009,400,2,35,阳光欧洲城投资有限公司,上海伟发物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,金地未未来,https://shanghai.anjuke.com/community/view/120217,31.31268,121.594133,公寓,2,154212,1611,2009,1025,1,36,上海深翔房地产开发有限公司,上海金地物业服务有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,艺泰安邦花园,https://shanghai.anjuke.com/community/view/7715,31.066885,121.715097,公寓,1,550000,4000,2008,600,1,45,上海刚泰房地产发展有限公司,上海文化物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,三林安居苑,https://shanghai.anjuke.com/community/view/1659,31.152,121.532269,公寓,0,90000,2200,1998,80,1,40,新世纪安居苑开发商前通置业公司,上海安居物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,环球翡翠湾花园,https://shanghai.anjuke.com/community/view/87,31.159622,121.5389,公寓,2,100000,1200,2006,477,1,42,上海浦发振丰房地产发展有限公司,第一太平戴维斯物业顾问(上海)有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,阳光城丽景湾,https://shanghai.anjuke.com/community/view/651223,31.102707,121.63797,公寓,4,50130,304,2015,270,1,35,上海豪建泽房地产开发有限公司,阳光城物业服务(福建)有限公司上海分公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,鹤沙航城航武嘉园(中区),https://shanghai.anjuke.com/community/view/595431,31.081192,121.602006,公寓,1,187100,2300,2012,1016,1,35,沪武房地产有限责任公司,武房地产有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,长泰公馆(公寓),https://shanghai.anjuke.com/community/view/578086,31.032689,121.596301,公寓,2,260000,1208,2015,750,2,55,上海豪全房地产开发有限公司,上海长宜物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,合生时代锦苑(合生前滩1号),https://shanghai.anjuke.com/community/view/571615,31.156491,121.495928,公寓,4,101401,472,2015,458,1,40,合生三麟房地产开发有限公司,广东康景物业服务有限公司上海分公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,佳伟景苑,https://shanghai.anjuke.com/community/view/535586,31.289868,121.681126,公寓,1,168135,2007,2013,714,1,30,上海曹路城镇建设投资发展有限公司,昌悦物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,张江汤臣豪园三期,https://shanghai.anjuke.com/community/view/394666,31.205183,121.60448,公寓,1,200000,1411,2011,1150,1,40,上海张江汤臣集团有限公司,上海东湖物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,绿地东岸涟城,https://shanghai.anjuke.com/community/view/189991,30.890722,121.922902,公寓,1,330000,3598,2008,2509,1,35,绿地集团,上海帮众物业经营管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,紫晶苑,https://shanghai.anjuke.com/community/view/13235,31.181176,121.63014,公寓,1,38000,890,2008,126,1,40,上海建工集团,上海建工物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,浦江东旭公寓(东区),https://shanghai.anjuke.com/community/view/12592,31.299172,121.592494,公寓,1,125000,1200,1999,1200,2,38,上海虹阳置业有限公司,高航物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
